REPORT_ID,Stats Area,Suburb,Postcode,LGA Name,Total Units,Total Cas,Total Fats,Total SI,Total MI,Year,Month,Day,Time,Area Speed,Position Type,Horizontal Align,Vertical Align,Other Feat,Road Surface,Moisture Cond,Weather Cond,DayNight,Crash Type,Unit Resp,Entity Code,CSEF Severity,Traffic Ctrls,DUI Involved,Drugs Involved,ACCLOC_X,ACCLOC_Y,UNIQUE_LOC
2019-67-27/05/2021,2 Metropolitan,RENOWN PARK,5008,CITY OF CHARLES STURT,2,0,0,0,0,2019,January,Friday,9:56 AM,40,Not Divided,Straight road,Level,Not Applicable,Sealed,Dry,Not Raining,Daylight,Hit Fixed Object,1,Driver Rider,1: PDO,No Control,,,1326160.42,1675072.71,1.33E+13
2019-68-27/05/2021,2 Metropolitan,NORWOOD,5067,"CC OF NORWOOD,PAYNEHAM & ST PETERS",2,0,0,0,0,2019,January,Friday,10:40 AM,50,T-Junction,Straight road,Level,Not Applicable,Sealed,Dry,Not Raining,Daylight,Right Angle,1,Driver Rider,1: PDO,Give Way Sign,,,1331851.33,1671176.12,1.33E+13
2019-69-27/05/2021,2 Metropolitan,GLENELG,5045,CITY OF HOLDFAST BAY,2,0,0,0,0,2019,January,Friday,12:01 PM,50,Cross Road,Straight road,Level,Not Applicable,Sealed,Dry,Not Raining,Daylight,Rear End,2,Driver Rider,1: PDO,Roundabout,,,1320786.74,1665307.63,1.32E+13
2019-70-27/05/2021,2 Metropolitan,WESTBOURNE PARK,5041,CC MITCHAM.                   ,2,0,0,0,0,2019,January,Wednesday,5:30 PM,60,Not Divided,Straight road,Level,Not Applicable,Sealed,Dry,Not Raining,Daylight,Rear End,2,Driver Rider,1: PDO,No Control,,,1327536.87,1666199.54,1.33E+13
2019-71-27/05/2021,2 Metropolitan,KESWICK TERMINAL,5035,CITY OF WEST TORRENS,2,0,0,0,0,2019,January,Friday,12:28 PM,60,Not Divided,"CURVED, VIEW OBSCURED",Level,Not Applicable,Sealed,Dry,Not Raining,Daylight,Right Angle,1,Driver Rider,1: PDO,No Control,,,1326333.22,1669977.83,1.33E+13
2019-72-27/05/2021,2 Metropolitan,FLINDERS PARK,5025,CITY OF CHARLES STURT,2,1,0,0,1,2019,January,Friday,1:00 PM,60,T-Junction,Straight road,Level,Not Applicable,Sealed,Dry,Not Raining,Daylight,Right Angle,2,Driver Rider,2: MI,No Control,,,1322523.14,1672347.24,1.32E+13
2019-73-27/05/2021,2 Metropolitan,CAVAN,5094,CITY OF SALISBURY,2,0,0,0,0,2019,January,Friday,12:35 PM,70,Cross Road,Straight road,Level,Not Applicable,Sealed,Dry,Not Raining,Daylight,Rear End,2,Driver Rider,1: PDO,Traffic Signals,,,1328720.17,1681548.46,1.33E+13
2019-74-27/05/2021,2 Metropolitan,CHELTENHAM,5014,CITY OF CHARLES STURT,2,0,0,0,0,2019,January,Friday,2:10 PM,60,Not Divided,Straight road,Level,Driveway or Entrance,Sealed,Dry,Not Raining,Daylight,Right Turn,2,Driver Rider,1: PDO,No Control,,,1322153.52,1676649.72,1.32E+13
2019-75-27/05/2021,2 Metropolitan,CHANDLERS HILL,5159,CITY OF ONKAPARINGA,2,0,0,0,0,2019,January,Thursday,4:00 PM,60,Not Divided,"CURVED, VIEW OPEN",Slope,Not Applicable,Sealed,Dry,Not Raining,Daylight,Hit Fixed Object,1,Driver Rider,1: PDO,No Control,,,1326542.88,1651448.82,1.33E+13
2019-76-27/05/2021,3 Country,FINNISS,5255,ALEXANDRINA COUNCIL,1,1,0,0,1,2019,January,Friday,1:50 PM,100,Not Divided,Straight road,Level,Roadworks,Unsealed,Dry,Not Raining,Daylight,Roll Over,1,Driver Rider,2: MI,No Control,,,1351187.54,1621027.32,1.35E+13
